关键词,次数,详细内容
售后,20,"['现在想退货但是售后并不允许了', '邮寄到华为售后', '售后人员说要换主板', '售后人员还说手机有些轻微变形', '我问售后是不是质量问题', '售后说是', '售后说你给客服联系', '感觉这个售后', '售后技术部的爱理不理', '没办法联系售后', '提出售后要求换机', '请售后看到转告', '给京东说让去找售后', '去售后检测说这属于正常', '如果做不好售后服务就别拿出来买', '的手机这就是华为售后', '提出售后要求换机', '现在想退货但是售后并不允许了', '售后也没有人解决问题运行内存也就2', '售后技术部的爱理不理']"
居然,25,"['居然卡住了', '想退居然退不了', '我开微信聊天居然都还会卡住', '但是我点了连接下单今天收到货居然是20', '不到6小时左右居然就没电了', '一个系统加桌面居然就用掉3个g', '华为的手机居然不支持微信指纹支付', '国产机器居然这么狗', '外来机居然都可以了', '玩手游居然会卡退', '我的手机膜居然刮花了', '找客服居然告诉我随机抽取拨测', '我的手机膜居然刮花了', '居然卡居然卡是我有毒还是你有毒说实话', '一个旗舰机居然出这样的问题', '居然卡住了', '想退居然退不了', '我开微信聊天居然都还会卡住', '华为的手机居然不支持微信指纹支付', '国产机器居然这么狗', '外来机居然都可以了', '但是我点了连接下单今天收到货居然是20', '无意间拿下套子发现中框上居然掉漆了', '第一天用拍照功能居然还死机了', '居然不是金卡']"
发票,21,"['明明没开发票', '退货时给我要发票', '我压根就没收到发票', '如不提供发票要扣17', '就没收到发票老子从哪给你', '只要不打电话要发票从来不主动开发票的', '也没发票', '心情不好耳机太次了没有发票', '物流还可以我要的纸质版的发票没有', '太不好用了屏幕触摸不好反应慢钱花的太坑了假货没发票的吗', '没手机发票', '什么发票都没', '明明没开发票', '退货时给我要发票', '我压根就没收到发票', '如不提供发票要扣17', '就没收到发票老子从哪给你', '只要不打电话要发票从来不主动开发票的', '发票没一起开过来', '问了还说发票属于京东负责', '为个发票我还到处找人']"
重启,20,"['除非重启', '除非重启', '后来重启才能动', '后来重启好了', '然后重启也没用', '重启了五六次', '重启之后好了', '客服说重启后没问题就是没问题', '重启一下好了', '只有重启当时能用', '强制重启几次后正常', '无论怎么重启关机都没用', '微信自动重启一整天都这样', '微信自动重启一整天都这样', '除非重启', '除非重启', '后来重启才能动', '后来重启好了', '然后重启也没用', '重启了五六次']"
体验,21,"['我将本人亲身体验告诉大家', '体验真心差', '用户体验真心差', '但是这款手机给我的体验太差', '就自己的体验说一下吧', '官方的工程师根本不在意客户体验', '买别的手机都不会有这么糟心的客户体验', '完全体验不到这款处理器的强大', '体验感糟糕透顶', '心情一下就不开心了非常糟糕的体验', '讲真游戏体验极差', '续航体验甚至不及三星note5', '京东客服真的蠢体验感特别差', '非常差的体验', '完全体验不到这款处理器的强大', '我将本人亲身体验告诉大家', '我去了体验店样机更严重所以申请退货想想还是取消了', '体验真心差', '用户体验真心差', '但是这款手机给我的体验太差', '差评不好的购物体验']"
小米,17,"['比小米好太多', '不然你凭什么比类似硬件配置的小米', '三千多买台小米旗舰都可以秒杀华为全部手机了', '要不是小米买不到', '要不是买不到小米真不会买华为', '比小米发热还厉害', '不建议购买我本来就想试一下这款手机跟小米mix2s', '劝各位还是把钱花在小米mix2s上吧', '包装是小米的', '到底包装盒内小米还是我的华为手机用了几天就出现闪屏', '真的不如小米', '此用户未填写评价内容我本来就想试一下这款手机跟小米mix2s', '劝各位还是把钱花在小米mix2s上吧', '要不是买不到小米真不会买华为', '三千多买台小米旗舰都可以秒杀华为全部手机了', '比小米发热还厉害', '要不是小米买不到']"
屏险,13,"['赠送6个月的碎屏险', '就没有单独购买碎屏险', '还在庆幸有碎屏险', '但所说的每一句绝对是事实预售的时候显示购机送半年碎屏险', '当时没有送碎屏险', '现在我想问京东到底能不能承担起那份碎屏险', '第二天就搞活动送半年碎屏险', '现在我想问京东到底能不能承担起那份碎屏险', '预售的时候显示购机送半年碎屏险', '当时没有送碎屏险', '预约也没有赠送碎屏险', '发布后当下买的送碎屏险', '我希望可以换货说好999预订碎屏险呢']"
玩游戏,15,"['我要是想玩游戏干嘛还买p系列的', '但是玩游戏真的不行', '掉帧严重反正只要玩游戏画面就不流畅', '玩游戏真不适合', '之前用其他品牌的手机玩游戏的建议就不要买了', '不玩游戏不看电影', '玩游戏闪退', '玩游戏基本玩不了', '玩游戏卡', '但是玩游戏真的不行', '掉帧严重反正只要玩游戏画面就不流畅', '玩游戏真不适合', '下次再也不在京东上买了玩游戏太卡了快递京准达骗人的', '不玩游戏', '不玩游戏的话还是可以的很不开心']"
不想,26,"['真心一颗星都不想给4月28日购买的p20', '不想着怎么给客户解决问题', '就你这样的态度我不想评价', '这次实在不想换了', '唉不想说了', '一星都不想给', '本来一星都不想给', '现在都不想再买京东的东西了', '真的很失望一颗星都不想给', '说实话一分都不想给', '一星都不想给', '一星都不想给', '不想说话', '一星都不想给手机wifi连接不上', '对自营这东西简直不想说话', '真的不想多说啥', '手机有问题不能及时解决一星都不想给', '还老是黑屏我不想说了', '真心一颗星都不想给耗电很快', '电池也不想3400', '唉不想说了', '就你这样的态度我不想评价', '一颗星都不想给', '不想着怎么给客户解决问题', '这次实在不想换了', '本来一星都不想给']"
换货,14,"['有退换货维修等服务', '14天之内只能换货', '最近才知道七天之内可以免费退换货', '我希望可以换货买了好几天了', '果断换货', '申请换货了', '要求换货', '又不能换货', '想要换货', '有退换货维修等服务', '14天之内只能换货', '申请换货了', '没开机直接换货', '我希望可以换货说好999预订碎屏险呢']"
一星,13,"['一星都不想给', '本来一星都不想给', '勉强给一星电池不耐用', '一星是给京东客服的', '一星都不想给', '一星都不想给', '一星都不想给手机wifi连接不上', '给了一星是给送货的快递小哥的', '手机有问题不能及时解决一星都不想给', '一星是给京东客服的', '还有说一到三天到的一星是给京东快递小哥的', '本来一星都不想给', '勉强给一星耳机插进去没有用']"
软件,22,"['还是软件', 'p20打开软件', '真心没开其他软件', '并没有开音乐软件', '在华为应用里下载软件', '下载个软件能把主板下载坏', '还卖这么贵不知道是不是软件不兼容的问题', '客服和技术部反馈说是抖音软件的问题', '本来以为是软件的问题', '再加一些系统软件', '地图软件开启两秒钟', '跑步软件gps定位非常不准', '然后就是好多最基本的软件显示不兼容', '地图软件开启两秒钟', '最后一百度就全明白了啦电板不经用软件安装了用不了差评物流速度快', '还是软件', 'p20打开软件', '真心没开其他软件', '并没有开音乐软件', '打开这个软件', '不知道是不是软件不兼容的问题', '客服和技术部反馈说是抖音软件的问题']"
充电,16,"['充电也开不了机', '不随身带充电器根本没法用', '充电块', '充电的时候就不能听歌', '充电也是从2', '前天买的刚刚1点充电的时候放歌放个一首不放了', '充电一分钟', '充电屏幕失灵', '手机充电接口内插片有弯曲使用痕迹', '而且机身在使用和充电过程中容易发烫这才用了一个半月', '除了耳机充电器', '如果看看新闻一上午在12点之前就要插上充电线充电了', '主要是太坑了前天买的刚刚1点充电的时候放歌放个一首不放了', '续航与充电一般', '充电一分钟', '充电也是从2']"
荣耀,15,"['我前一部手机用的是荣耀', '比荣耀和10贵一千', '荣耀畅玩', '荣耀8', '荣耀9每一个给我的感觉都非常好', '打王者荣耀超级不舒服', '打王者荣耀还不停的的闪屏', '京东的答复是过了15天换不了之前买的荣耀10一个多星期home键直接失灵不能使用了', '比同配荣耀10贵', '今天荣耀10出来了', '用荣耀7的时候能秒连', '我前一部手机用的是荣耀', '没有荣耀9性价比高', '还不如我以前买的荣耀手机非常好', '相机没荣耀7的好']"
礼包,12,"['首次充钱后领取礼包然后送一个一年的屏保碎险', '注意领取礼包后7天之内需要交资料不然作废', '但是小弟按步骤充值了领取礼包了', '可恶的京东宝宝又让我回到第三部让我先领礼包', '31分短信提示我在12分钟前已经领取了礼包', '说我先领礼包', '首次充钱后领取礼包然后送一个一年的屏保碎险', '注意领取礼包后7天之内需要交资料不然作废', '但是小弟按步骤充值了领取礼包了', '可恶的京东宝宝又让我回到第三部让我先领礼包', '31分短信提示我在12分钟前已经领取了礼包', '说我先领礼包']"
呵呵,12,"['我都呵呵呵呵呵了', '我真是呵呵呵呵了', '呵呵', '呵呵', '呵呵', '呵呵', '京东也是呵呵哒', '呵呵哒', '呵呵呵呵', '呵呵哒玩吃鸡卡得要死', '呵呵了', '呵呵']"
耗电,14,"['耗电太快', '手机电池耗电太快', '它还是在那里耗电占内存', '跟苹果耗电量差不多', '耗电', '耗电很快', '真不敢想以后会不会越来越卡耗电太快了', '手机耗电量太大了', '有点卡电池耗电太快了', '手机电池耗电太快', '耗电太快', '耗电太快', '它还是在那里耗电占内存', '真心一颗星都不想给耗电很快']"
一下,33,"['x9做了一下对比', '看了一下', '就自己的体验说一下吧', '两个手机同一个视频对比了一下确实是P20有问题', '我解释一下下图', '我就拿我朋友的移动卡试了一下', '我把两张移动卡都上去试了一下', '想说换手机支持一下国产', '重启一下好了', '把打游戏卡顿的情况处理一下', '不建议购买我本来就想试一下这款手机跟小米mix2s', '大家高兴之于还是检查一下自己的手机吧使用几天后陆续出现过几次屏幕卡死', '但是这个包装要吐槽一下', '心情一下就不开心了非常糟糕的体验', '等一下', '本着换换口味支持一下国货吧', '解释一下呢', '此用户未填写评价内容我本来就想试一下这款手机跟小米mix2s', '买之前看了一下店铺的差评', '真的一下子没有反驳理由了', '我想问一下我18年4月27日晚上下单买的手机里面怎么有18年4月27日上午的视频文件刚收到', '阳光下验收一下便知', '等一下', 'x9做了一下对比', '看了一下', '在网上查了一下应该不是个例', '我就拿我朋友的移动卡试了一下', '我把两张移动卡都上去试了一下', '我解释一下下图', '大家高兴之于还是检查一下自己的手机吧不好', '把打游戏卡顿的情况处理一下', '说一下使用感受', '两个手机同一个视频对比了一下确实是P20有问题']"
耳机,13,"['耳机插进去没有用', '耳机插进去没有声音', '5mm耳机插口', '还有新耳机漏电', '除了耳机充电器', '心情不好耳机太次了没有发票', '手机耳机2对', '华为客服告知官方只有一对耳机', '就是这耳机插头的地方有个缺口能告诉我咋回事吗', '5mm的耳机转接头被工人吃了', '耳机插进去没有声音', '还有新耳机漏电', '勉强给一星耳机插进去没有用']"
苹果,16,"['我的苹果8的网络速度完胜华为p20', '和苹果8简直不在一个档次', '苹果这样的公司比', '跟苹果耗电量差不多', '还和苹果比', '和手机无关使用苹果7p手机之后买了华为手机', '还不如我之前用的苹果6s', '早知道还不如换苹果的', '不过远优于我以前的苹果6s', '我的苹果8的网络速度完胜华为p20', '和苹果8简直不在一个档次', '苹果这样的公司比', '吹嘘对标苹果超越三星', '苹果三星质量就这水平', '还和苹果比', '我家苹果换掉的全是华为']"
